Country Name,Flag File Name,Official Country Name,GDP,Area,Population
North Korea,North_Korea.png,,17396,120540,25778816
Norway,Norway.png,,396457,324220,5421241
Oman,Oman.png,,74274,309500,5106626
Pakistan,Pakistan.png,,303993,803940,220892340
Palau,Palau.png,,321,458,18094
Palestine,Palestine.png,,12766,6220,5101414
Panama,Panama.png,,61838,78201,4314767
Papua New Guinea,Papua_New_Guinea.png,,23617,462840,8947024
Paraguay,Paraguay.png,,29619,406750,7132538
Peru,Peru.png,,215224,1285220,32971854
Philippines,Philippines.png,,313419,300000,109581078
Poland,Poland.png,,524886,312685,37846611
Portugal,Portugal.png,,218064,91188,10196709
Qatar,Qatar.png,,166326,11437,2881053
Republic of the Congo,Republic_of_the_Congo.png,,7799,342000,81340000
Romania,Romania.png,,211315,238391,19237691
Russia,Russia.png,,1527469,17098246,145934462
Rwanda,Rwanda.png,,8918,26338,12952218
Samoa,Samoa.png,,844,2860,198414
San Marino,San_Marino.png,,1592,61,33931
Sao Tome and Principe,Sao_Tome_and_Principe.png,,372,1001,219159
Saudi Arabia,Saudi_Arabia.png,,683827,2149690,34813871
Senegal,Senegal.png,,16057,196190,16743927
Serbia,Serbia.png,,41471,88361,8737371
Seychelles,Seychelles.png,,1479,455,98347
Sierra Leone,Sierra_Leone.png,,3897,72740,7976983
Singapore,Singapore.png,,323902,693,5850342
Slovakia,Slovakia.png,,95938,48845,5459642
Slovenia,Slovenia.png,,48868,20253,2078938
Solomon Islands,Solomon_Islands.png,,1273,28450,686884
Somalia,Somalia.png,,7369,637657,15893222
South Africa,South_Africa.png,,349299,1219912,59308690
South Korea,South_Korea.png,,1538030,98480,51269185
South Sudan,South_Sudan.png,,2870,619745,11193725
Spain,Spain.png,,1313951,504781,46754778
Sri Lanka,Sri_Lanka.png,,87591,65611,21413249
St. Kitts and Nevis,Saint_Kitts_and_Nevis.png,Saint Kitts and Nevis,939,261,55345
St. Lucia,Saint_Lucia.png,Saint Lucia,1717,620,178844
St. Vincent and the Grenadines,Saint_Vincent_and_the_Grenadines.png,Saint Vincent and the Grenadines,815,389,110940
Sudan,Sudan.png,,58239,1861484,43849260
Suriname,Suriname.png,,3665,163270,586632
Swaziland,Swaziland.png,,4030,17363,1367000
Sweden,Sweden.png,,538575,449964,10099265
Switzerland,Switzerland.png,,678575,41210,8654622
Syria,Syria.png,,77460,185180,17500658
Taiwan,Taiwan.png,,579302,35980,23816775
Tajikistan,Tajikistan.png,,7234,143100,9537645
Tanzania,Tanzania.png,,51725,945087,59734218
Thailand,Thailand.png,,455378,514000,69799978
Togo,Togo.png,,4797,56785,8278724
Tonga,Tonga.png,,437,748,105695
Trinidad and Tobago,Trinidad_and_Tobago.png,,20300,5128,1399488
Tunisia,Tunisia.png,,40275,163610,11818619
Turkey,Turkey.png,,849480,780580,84339067
Turkmenistan,Turkmenistan.png,,37926,488100,6031200
Tuvalu,Tuvalu.png,,40,26,11792
Uganda,Uganda.png,,26349,241550,45741007
Ukraine,Ukraine.png,,109321,603628,43733762
United Arab Emirates,United_Arab_Emirates.png,,377435,82880,9890402
United Kingdom,United_Kingdom.png,,2624529,243610,67886011
United States,United_States.png,,19390600,9525067,331002651
Uruguay,Uruguay.png,,58415,176220,3473730
Uzbekistan,Uzbekistan.png,,47883,447400,33469203
Vanuatu,Vanuatu.png,,837,12200,307145
Venezuela,Venezuela.png,,210085,912050,28435940
Vietnam,Vietnam.png,,220408,329560,97338579
Yemen,Yemen.png,,16511,527970,29825964
Zambia,Zambia.png,,25504,752614,18383955
Zimbabwe,Zimbabwe.png,,17105,390580,14862924
